SampleID,Group,Batch,Median_NPX,Missing_Percent
C01,Control,Batch1,8.025178968400557,2.5
C02,Control,Batch1,7.977644377141803,0.0
C03,Control,Batch1,8.013375725654573,5.0
C04,Control,Batch1,8.014200771248724,0.0
C05,Control,Batch1,8.019727518011914,2.5
C06,Control,Batch2,8.184978760576866,0.0
C07,Control,Batch2,8.163059952433589,0.0
C08,Control,Batch2,8.273076803156446,0.0
C09,Control,Batch2,8.188867279789497,2.5
C10,Control,Batch2,8.184411487165637,2.5
D01,Disease,Batch1,8.732396492090189,0.0
D02,Disease,Batch1,8.674951874654472,2.5
D03,Disease,Batch1,8.79456802149322,0.0
D04,Disease,Batch1,8.774132965311576,0.0
D05,Disease,Batch1,8.706134119667432,0.0
D06,Disease,Batch2,8.940752935644083,2.5
D07,Disease,Batch2,8.812230034328957,0.0
D08,Disease,Batch2,8.919466560731216,0.0
D09,Disease,Batch2,8.971149554228043,0.0
D10,Disease,Batch2,8.899905907007147,7.5
