Assay,Gene,SampleID,Group,Batch,NPX
EGFR,EGFR,C01,Control,Batch1,8.32281233289705
EGFR,EGFR,C02,Control,Batch1,8.464283843965987
EGFR,EGFR,C03,Control,Batch1,8.621845281261308
EGFR,EGFR,C04,Control,Batch1,8.305552299657663
EGFR,EGFR,C05,Control,Batch1,8.30555525485701
EGFR,EGFR,C06,Control,Batch2,8.811958213899192
EGFR,EGFR,C07,Control,Batch2,8.665838158355387
EGFR,EGFR,C08,Control,Batch2,8.443194517639572
EGFR,EGFR,C09,Control,Batch2,8.625360714953336
EGFR,EGFR,C10,Control,Batch2,8.444284722401619
EGFR,EGFR,D01,Disease,Batch1,9.663868551465217
EGFR,EGFR,D02,Disease,Batch1,9.791253115989749
EGFR,EGFR,D03,Disease,Batch1,9.40330946306946
EGFR,EGFR,D04,Disease,Batch1,9.437214697255518
EGFR,EGFR,D05,Disease,Batch1,9.646488151844489
EGFR,EGFR,D06,Disease,Batch2,9.745390305447668
EGFR,EGFR,D07,Disease,Batch2,9.984264426975013
EGFR,EGFR,D08,Disease,Batch2,9.764255573514045
EGFR,EGFR,D09,Disease,Batch2,9.67348524086751
EGFR,EGFR,D10,Disease,Batch2,10.191516685513744
AKT1,AKT1,C01,Control,Batch1,7.854111666503251
AKT1,AKT1,C02,Control,Batch1,7.585501916141003
AKT1,AKT1,C03,Control,Batch1,7.743967699244892
AKT1,AKT1,C04,Control,Batch1,7.861922655807201
AKT1,AKT1,C05,Control,Batch1,7.634777745723411
AKT1,AKT1,C06,Control,Batch2,8.089582232961646
AKT1,AKT1,C07,Control,Batch2,7.91384162547404
AKT1,AKT1,C08,Control,Batch2,7.969451714696635
AKT1,AKT1,C09,Control,Batch2,7.913649399458134
AKT1,AKT1,C10,Control,Batch2,8.355366662871033
AKT1,AKT1,D01,Disease,Batch1,9.039527089206597
AKT1,AKT1,D02,Disease,Batch1,8.851568622447363
AKT1,AKT1,D03,Disease,Batch1,9.190014673837998
AKT1,AKT1,D04,Disease,Batch1,8.822204732664641
AKT1,AKT1,D05,Disease,Batch1,9.079552036760282
AKT1,AKT1,D06,Disease,Batch2,8.869215967361065
AKT1,AKT1,D07,Disease,Batch2,8.982883100857707
AKT1,AKT1,D08,Disease,Batch2,9.257391612115866
AKT1,AKT1,D09,Disease,Batch2,9.354880574058598
AKT1,AKT1,D10,Disease,Batch2,9.252802880273618
MAPK1,MAPK1,C01,Control,Batch1,7.864847537122159
MAPK1,MAPK1,C02,Control,Batch1,7.652912244062095
MAPK1,MAPK1,C03,Control,Batch1,7.789474244817184
MAPK1,MAPK1,C04,Control,Batch1,7.836131223555469
MAPK1,MAPK1,C05,Control,Batch1,8.109328203047635
MAPK1,MAPK1,C06,Control,Batch2,8.160897494450555
MAPK1,MAPK1,C07,Control,Batch2,7.78169897436294
MAPK1,MAPK1,C08,Control,Batch2,8.157381316819295
MAPK1,MAPK1,C09,Control,Batch2,8.029731391853295
MAPK1,MAPK1,C10,Control,Batch2,7.97720024227316
MAPK1,MAPK1,D01,Disease,Batch1,9.029147934319587
MAPK1,MAPK1,D02,Disease,Batch1,9.104626116377503
MAPK1,MAPK1,D03,Disease,Batch1,9.086676623769147
MAPK1,MAPK1,D04,Disease,Batch1,8.767987048148157
MAPK1,MAPK1,D05,Disease,Batch1,8.863387974675014
MAPK1,MAPK1,D06,Disease,Batch2,9.158673619980874
MAPK1,MAPK1,D07,Disease,Batch2,9.274644325210257
MAPK1,MAPK1,D08,Disease,Batch2,9.01279483951608
MAPK1,MAPK1,D09,Disease,Batch2,9.065627586528745
MAPK1,MAPK1,D10,Disease,Batch2,8.899905907007147
MTOR,MTOR,C01,Control,Batch1,7.308910011174486
MTOR,MTOR,C02,Control,Batch1,7.406778568286279
MTOR,MTOR,C03,Control,Batch1,7.1496935412590705
MTOR,MTOR,C04,Control,Batch1,7.343291284764095
MTOR,MTOR,C05,Control,Batch1,7.227749847652104
