Assay,log2FC_Disease_vs_Control,p_value,n_control,n_disease,FDR_BH,Significant
INS,-1.6802386979102764,9.039436338244151e-15,10,10,3.61577453529766e-13,True
IGF1,-1.4703492464533647,8.78969516558786e-13,9,10,1.4171948118037148e-11,True
PTEN,-1.241419226194762,1.062896108852786e-12,10,10,1.4171948118037148e-11,True
ALB,-1.4805857751288238,4.359954629864445e-12,10,10,4.3599546298644454e-11,True
BCL2,-1.4387845806686976,8.682439371753833e-12,10,10,6.945951497403066e-11,True
TNF,0.9535932879037606,2.405216403078151e-10,9,9,1.6034776020521007e-09,True
FOXO1,-1.3498140793538473,6.492875536505761e-10,10,9,3.6443120546009316e-09,True
CRP,1.3614791274664733,7.288624109201863e-10,10,9,3.6443120546009316e-09,True
IL6,1.114889359970443,1.0637559302569994e-09,10,10,4.727804134475553e-09,True
CXCL8,0.83711969554629,8.033741389081373e-09,10,10,3.213496555632549e-08,True
CCL2,0.7984171855917195,1.2438340022177692e-07,10,10,4.5230327353373426e-07,True
GAPDH,-0.6573280514376716,1.897667601374032e-07,10,10,6.325558671246774e-07,True
MMP9,0.580931274851087,9.019212373632486e-07,10,10,2.7751422688099955e-06,True
ACTB,-0.6691249484537325,1.4988780985669601e-06,10,10,4.282508853048458e-06,True
AKT1,0.4596701149125759,5.948454224397682e-06,10,10,1.5862544598393818e-05,False
JUN,0.5894437624720257,6.703184739461859e-06,10,10,1.6757961848654647e-05,True
VIM,-0.50280138062814,1.3399266116256721e-05,10,10,3.152768497942758e-05,True
EGFR,0.510919405047756,2.5637313819403127e-05,10,10,5.69718084875625e-05,True
MAPK1,0.3722702281591993,3.603172286928054e-05,10,10,7.585625867216957e-05,False
FOS,0.4245572954231902,8.799072257414363e-05,10,10,0.00017598144514828726,False
VEGFA,0.5171267546717204,0.00012814406736719698,10,10,0.00023789173325909518,True
PIK3CA,0.30716054542934634,0.00013084045329250234,9,10,0.00023789173325909518,False
AKR1C3,-0.396050203123608,0.0008272783417544837,10,10,0.001438744942181711,False
MMP2,0.23713898114940063,0.0013030464362752384,10,10,0.0021717440604587307,False
GSK3B,-0.20792403377868807,0.001774769820553321,10,10,0.0028396317128853137,False
STAT3,0.2967180492132119,0.0020479439542911305,10,10,0.003150683006601739,False
LEP,0.3197146488697913,0.002583245436230829,10,10,0.0038270302758975244,False
ERK2,0.19551930101070988,0.004160395657107523,10,10,0.005943422367296461,False
STAT1,0.21836538288617227,0.010115789898801212,10,9,0.013952813653518914,False
NFKB1,0.22770007862532815,0.02274446445236026,10,10,0.03032595260314701,False
LDLR,0.24577855705336515,0.02411706366304453,10,10,0.031118791823283264,False
APOB,-0.18744828760958446,0.03194943364412387,9,9,0.03993679205515484,False
TGFB1,0.1216204750816221,0.06999125513715398,10,10,0.0848378850147321,False
SOCS3,-0.10837302390275927,0.2580538435274889,8,10,0.30128673010109736,False
RELA,0.08470294016069624,0.26362588883846017,10,10,0.30128673010109736,False
JAK2,0.03687401067145779,0.6796623084490953,10,10,0.7551803427212169,False
JAK1,0.030438363259944756,0.7691199753736354,10,10,0.8314810544579843,False
HIF1A,0.02522021561402621,0.8002147897773374,10,10,0.8423313576603553,False
MTOR,0.01891849630958997,0.8214647702917237,10,10,0.842527969529973,False
S6K1,-0.007628364936723808,0.9298655474267946,10,10,0.9298655474267946,False
