Assay,SampleID,NPX_normalized,Group,Batch
ACTB,C01,-1.5815540776846895,Control,Batch1
AKR1C3,C01,-0.018897557444674362,Control,Batch1
AKT1,C01,-0.17106730189730524,Control,Batch1
ALB,C01,1.733305930656611,Control,Batch1
APOB,C01,-0.42020487007359986,Control,Batch1
BCL2,C01,0.6275453731271217,Control,Batch1
CCL2,C01,0.13454497548951316,Control,Batch1
CRP,C01,0.5542954713978805,Control,Batch1
CXCL8,C01,0.578846204317168,Control,Batch1
EGFR,C01,0.2976333644964928,Control,Batch1
ERK2,C01,-0.21184003052461797,Control,Batch1
FOS,C01,-0.8204879873205373,Control,Batch1
FOXO1,C01,0.35172462146507044,Control,Batch1
GAPDH,C01,-0.5683113358634806,Control,Batch1
GSK3B,C01,0.0,Control,Batch1
HIF1A,C01,-1.0675819318273936,Control,Batch1
IGF1,C01,-0.16915067478379786,Control,Batch1
IL6,C01,-0.3326231591869142,Control,Batch1
INS,C01,-0.6608764576528534,Control,Batch1
JAK1,C01,-0.9345851516980197,Control,Batch1
JAK2,C01,0.715016587983003,Control,Batch1
JUN,C01,0.5971700935875166,Control,Batch1
LDLR,C01,-0.47647044006320627,Control,Batch1
LEP,C01,1.3621893934878866,Control,Batch1
MAPK1,C01,-0.16033143127839722,Control,Batch1
MMP2,C01,0.10000814462805785,Control,Batch1
MMP9,C01,-0.19468738287547627,Control,Batch1
MTOR,C01,-0.7162689572260703,Control,Batch1
NFKB1,C01,0.40196101451681976,Control,Batch1
PIK3CA,C01,-0.6814407582710045,Control,Batch1
PTEN,C01,0.14707107866502334,Control,Batch1
RELA,C01,1.1398378677856016,Control,Batch1
S6K1,C01,0.353414064481143,Control,Batch1
SOCS3,C01,0.5127341828947376,Control,Batch1
STAT1,C01,-0.3319196401360429,Control,Batch1
STAT3,C01,-0.8555491157485076,Control,Batch1
TGFB1,C01,0.11227525557546869,Control,Batch1
TNF,C01,,Control,Batch1
VEGFA,C01,1.646174116407492,Control,Batch1
VIM,C01,0.3422233511380828,Control,Batch1
ACTB,C02,-1.2324065572079173,Control,Batch1
AKR1C3,C02,-0.09122549976232808,Control,Batch1
AKT1,C02,-0.39214246100079997,Control,Batch1
ALB,C02,1.4200656235493545,Control,Batch1
APOB,C02,-0.01657230791997044,Control,Batch1
BCL2,C02,1.021874424637347,Control,Batch1
CCL2,C02,0.05658857299653253,Control,Batch1
CRP,C02,0.7809395371079413,Control,Batch1
CXCL8,C02,0.5936992977721909,Control,Batch1
EGFR,C02,0.486639466824184,Control,Batch1
ERK2,C02,-0.03918644446873465,Control,Batch1
FOS,C02,-0.6530825590175091,Control,Batch1
FOXO1,C02,0.5300582376575198,Control,Batch1
GAPDH,C02,-0.5397250818900776,Control,Batch1
GSK3B,C02,0.21106957122519976,Control,Batch1
HIF1A,C02,-0.7465772219114211,Control,Batch1
IGF1,C02,-0.3286069942253178,Control,Batch1
IL6,C02,-0.30952865567640586,Control,Batch1
INS,C02,-0.48116475312694806,Control,Batch1
JAK1,C02,-1.1908110396863947,Control,Batch1
JAK2,C02,0.6117764799681256,Control,Batch1
JUN,C02,0.336615228938105,Control,Batch1
LDLR,C02,-0.48767128168096185,Control,Batch1
LEP,C02,1.404067744518028,Control,Batch1
MAPK1,C02,-0.32473213307970816,Control,Batch1
MMP2,C02,0.43419444061171486,Control,Batch1
MMP9,C02,0.11269739093929676,Control,Batch1
MTOR,C02,-0.5708658088555243,Control,Batch1
NFKB1,C02,0.6164726171386592,Control,Batch1
PIK3CA,C02,-0.37881751798066077,Control,Batch1
PTEN,C02,0.01657230791997044,Control,Batch1
RELA,C02,1.0595814001367438,Control,Batch1
S6K1,C02,0.21317375304220132,Control,Batch1
SOCS3,C02,0.3977921886426641,Control,Batch1
STAT1,C02,-0.4708777980472547,Control,Batch1
STAT3,C02,-0.8485067651188221,Control,Batch1
TGFB1,C02,-0.0187897041856937,Control,Batch1
TNF,C02,-0.8838856514436833,Control,Batch1
VEGFA,C02,1.234378366895318,Control,Batch1
VIM,C02,0.49311236909141076,Control,Batch1
ACTB,C03,-1.2300431458098693,Control,Batch1
AKR1C3,C03,0.01266570028882974,Control,Batch1
AKT1,C03,-0.269408026409681,Control,Batch1
ALB,C03,1.6040305929346026,Control,Batch1
APOB,C03,-0.2710665594113122,Control,Batch1
BCL2,C03,1.1462621991426385,Control,Batch1
CCL2,C03,0.5240552231313682,Control,Batch1
CRP,C03,0.8540395586761225,Control,Batch1
CXCL8,C03,0.5034980570656877,Control,Batch1
EGFR,C03,0.6084695556067352,Control,Batch1
ERK2,C03,-0.154652590372641,Control,Batch1
FOS,C03,-0.7973767709869701,Control,Batch1
FOXO1,C03,0.617227912037821,Control,Batch1
GAPDH,C03,-0.6243438625822186,Control,Batch1
GSK3B,C03,-0.08644091344237737,Control,Batch1
HIF1A,C03,-0.7157208350426361,Control,Batch1
IGF1,C03,,Control,Batch1
IL6,C03,-0.3319932581503604,Control,Batch1
INS,C03,-0.692694182914046,Control,Batch1
JAK1,C03,-1.2749395590454817,Control,Batch1
JAK2,C03,1.238424559613831,Control,Batch1
JUN,C03,0.31581894444570224,Control,Batch1
LDLR,C03,-0.5429581091653626,Control,Batch1
LEP,C03,1.4115956514178745,Control,Batch1
MAPK1,C03,-0.22390148083738914,Control,Batch1
MMP2,C03,0.29184902827874915,Control,Batch1
MMP9,C03,0.0296181622623628,Control,Batch1
MTOR,C03,-0.8636821843955023,Control,Batch1
NFKB1,C03,0.4818810055086775,Control,Batch1
PIK3CA,C03,-0.5201460479410605,Control,Batch1
PTEN,C03,-0.01266570028882974,Control,Batch1
RELA,C03,1.084249645125423,Control,Batch1
S6K1,C03,0.4580025832556682,Control,Batch1
SOCS3,C03,,Control,Batch1
STAT1,C03,-0.3932640452771743,Control,Batch1
STAT3,C03,-0.8926066417513079,Control,Batch1
TGFB1,C03,0.059676906936278584,Control,Batch1
TNF,C03,-1.0352319089912418,Control,Batch1
VEGFA,C03,1.3849714791383452,Control,Batch1
VIM,C03,0.28185742976295813,Control,Batch1
ACTB,C04,-1.440395234232681,Control,Batch1
AKR1C3,C04,-0.06645486679225865,Control,Batch1
AKT1,C04,-0.15227811544152292,Control,Batch1
ALB,C04,1.5444904470939935,Control,Batch1
APOB,C04,0.08345396387481685,Control,Batch1
BCL2,C04,0.6663245504178832,Control,Batch1
CCL2,C04,0.2514256654758995,Control,Batch1
CRP,C04,0.8607271540103518,Control,Batch1
CXCL8,C04,0.32867412220122993,Control,Batch1
EGFR,C04,0.2913515284089385,Control,Batch1
ERK2,C04,-0.4278258007025961,Control,Batch1
FOS,C04,-0.9866956164321099,Control,Batch1
FOXO1,C04,0.4992040781436682,Control,Batch1
GAPDH,C04,-0.4609166766039339,Control,Batch1
GSK3B,C04,0.022923831891974444,Control,Batch1
HIF1A,C04,-0.4181024726813565,Control,Batch1
IGF1,C04,0.0596311858476426,Control,Batch1
IL6,C04,-0.1998507601452717,Control,Batch1
INS,C04,-0.7400484802054397,Control,Batch1
JAK1,C04,-1.3811047995959278,Control,Batch1
JAK2,C04,0.7850540675573132,Control,Batch1
JUN,C04,0.25523456368354225,Control,Batch1
LDLR,C04,-0.3934586208357178,Control,Batch1
LEP,C04,1.1363600516278822,Control,Batch1
MAPK1,C04,-0.178069547693255,Control,Batch1
MMP2,C04,0.3820252503178203,Control,Batch1
MMP9,C04,-0.1150766664235956,Control,Batch1
MTOR,C04,-0.6709094864846294,Control,Batch1
NFKB1,C04,0.6532506689665976,Control,Batch1
PIK3CA,C04,-0.6755031299520224,Control,Batch1
PTEN,C04,-0.10599526114461266,Control,Batch1
RELA,C04,0.8304422182799964,Control,Batch1
S6K1,C04,0.22750695064509863,Control,Batch1
SOCS3,C04,0.19175370986290652,Control,Batch1
STAT1,C04,-0.45398573928881714,Control,Batch1
STAT3,C04,-0.8761597226982616,Control,Batch1
TGFB1,C04,-0.02292383189197622,Control,Batch1
TNF,C04,-1.2988268086969876,Control,Batch1
VEGFA,C04,1.6993525735137105,Control,Batch1
VIM,C04,0.4053358795227755,Control,Batch1
ACTB,C05,-1.1681983458971494,Control,Batch1
AKR1C3,C05,0.426382521408204,Control,Batch1
AKT1,C05,-0.38494977228850313,Control,Batch1
ALB,C05,1.6691497097612995,Control,Batch1
APOB,C05,0.023373842619653473,Control,Batch1
BCL2,C05,0.6459182906816938,Control,Batch1
CCL2,C05,-0.2327321709029011,Control,Batch1
CRP,C05,0.7657321155032442,Control,Batch1
CXCL8,C05,0.5165102991620909,Control,Batch1
EGFR,C05,0.2858277368450963,Control,Batch1
ERK2,C05,-0.12455494971689429,Control,Batch1
FOS,C05,-0.7007616101383105,Control,Batch1
FOXO1,C05,-0.020266641962480847,Control,Batch1
GAPDH,C05,-0.6247483373511793,Control,Batch1
GSK3B,C05,-0.08311420668749925,Control,Batch1
HIF1A,C05,-0.666541008376548,Control,Batch1
IGF1,C05,-0.24136539197824547,Control,Batch1
IL6,C05,-0.13009184374692673,Control,Batch1
INS,C05,-0.5537118576981275,Control,Batch1
JAK1,C05,-1.5023269597481264,Control,Batch1
JAK2,C05,0.7713752752158456,Control,Batch1
JUN,C05,-0.08227073699556442,Control,Batch1
LDLR,C05,-0.37318398579820933,Control,Batch1
LEP,C05,1.4184986313379202,Control,Batch1
MAPK1,C05,0.08960068503572138,Control,Batch1
MMP2,C05,0.3435165137098686,Control,Batch1
MMP9,C05,0.0,Control,Batch1
MTOR,C05,-0.7919776703598096,Control,Batch1
NFKB1,C05,0.6215667325207086,Control,Batch1
PIK3CA,C05,,Control,Batch1
PTEN,C05,-0.05632202197910008,Control,Batch1
RELA,C05,1.4677388563615423,Control,Batch1
S6K1,C05,0.3475567792408736,Control,Batch1
SOCS3,C05,0.5777522703063145,Control,Batch1
STAT1,C05,0.05579984594809417,Control,Batch1
STAT3,C05,-1.0664515970550354,Control,Batch1
TGFB1,C05,0.012434444829706237,Control,Batch1
TNF,C05,-1.0489480086388063,Control,Batch1
VEGFA,C05,1.3384013160855481,Control,Batch1
VIM,C05,0.356201068643891,Control,Batch1
ACTB,C06,-1.5674698422504427,Control,Batch2
AKR1C3,C06,0.29614094078109154,Control,Batch2
AKT1,C06,-0.09539652761522,Control,Batch2
ALB,C06,1.2638585639361057,Control,Batch2
APOB,C06,-0.1970434457816559,Control,Batch2
BCL2,C06,1.0024667078500649,Control,Batch2
CCL2,C06,0.1801040287890121,Control,Batch2
CRP,C06,0.9736056456271065,Control,Batch2
CXCL8,C06,0.25553605829158776,Control,Batch2
EGFR,C06,0.6269794533223259,Control,Batch2
ERK2,C06,-0.06833637131183146,Control,Batch2
FOS,C06,-0.8895688566390474,Control,Batch2
FOXO1,C06,0.0955156230998373,Control,Batch2
GAPDH,C06,-0.4117463303217743,Control,Batch2
GSK3B,C06,-0.06336521822336039,Control,Batch2
HIF1A,C06,-0.7500772734046457,Control,Batch2
IGF1,C06,-0.1347316978431543,Control,Batch2
IL6,C06,-0.12694609789947187,Control,Batch2
INS,C06,-0.5387328155320548,Control,Batch2
JAK1,C06,-1.0415332962640962,Control,Batch2
JAK2,C06,0.7792742444267624,Control,Batch2
JUN,C06,0.2730843416124511,Control,Batch2
LDLR,C06,-0.590276822741572,Control,Batch2
LEP,C06,1.391239413595839,Control,Batch2
MAPK1,C06,-0.024081266126311007,Control,Batch2
MMP2,C06,0.09571297763269193,Control,Batch2
MMP9,C06,-0.0671720652982728,Control,Batch2
MTOR,C06,-0.9584449532622585,Control,Batch2
NFKB1,C06,0.7630135009705263,Control,Batch2
PIK3CA,C06,-0.553450323719451,Control,Batch2
PTEN,C06,0.024081266126311007,Control,Batch2
RELA,C06,1.0655120702211018,Control,Batch2
S6K1,C06,0.8011589869281384,Control,Batch2
SOCS3,C06,0.3928937797243801,Control,Batch2
STAT1,C06,-0.07643796566656746,Control,Batch2
STAT3,C06,-0.8874927242468793,Control,Batch2
TGFB1,C06,0.11685219314470885,Control,Batch2
TNF,C06,-0.996014689505782,Control,Batch2
VEGFA,C06,1.5604180743982976,Control,Batch2
VIM,C06,0.6091724995482775,Control,Batch2
ACTB,C07,-1.2583717866552693,Control,Batch2
AKR1C3,C07,0.15792951723647697,Control,Batch2
AKT1,C07,-0.24921832695954826,Control,Batch2
ALB,C07,1.5829528577835212,Control,Batch2
APOB,C07,-0.09844232122005891,Control,Batch2
BCL2,C07,1.047099296343685,Control,Batch2
CCL2,C07,0.049339496615484535,Control,Batch2
CRP,C07,0.691239788658967,Control,Batch2
CXCL8,C07,0.37393605583842593,Control,Batch2
EGFR,C07,0.502778205921798,Control,Batch2
ERK2,C07,-0.05556071669205487,Control,Batch2
FOS,C07,-0.591188742510738,Control,Batch2
FOXO1,C07,0.2352909412703177,Control,Batch2
GAPDH,C07,-0.44755261051971207,Control,Batch2
GSK3B,C07,-0.018888071366621517,Control,Batch2
HIF1A,C07,-0.5394273654627435,Control,Batch2
IGF1,C07,-0.06089508116968645,Control,Batch2
IL6,C07,-0.005938648809113545,Control,Batch2
INS,C07,-0.6521577617551504,Control,Batch2
JAK1,C07,-1.1545879591400494,Control,Batch2
JAK2,C07,0.841190825188054,Control,Batch2
JUN,C07,0.31061708512597264,Control,Batch2
LDLR,C07,-0.576515091344441,Control,Batch2
LEP,C07,1.576872982384499,Control,Batch2
MAPK1,C07,-0.3813609780706484,Control,Batch2
MMP2,C07,0.16601830050649014,Control,Batch2
MMP9,C07,0.044536312425346836,Control,Batch2
MTOR,C07,-0.7553533802985442,Control,Batch2
NFKB1,C07,0.5063721673535291,Control,Batch2
PIK3CA,C07,-0.3746493761628997,Control,Batch2
PTEN,C07,-0.3172345548091746,Control,Batch2
RELA,C07,1.0838621286377208,Control,Batch2
S6K1,C07,0.34497179623259555,Control,Batch2
SOCS3,C07,0.3540048287339701,Control,Batch2
STAT1,C07,0.005938648809115321,Control,Batch2
STAT3,C07,-0.8546265363988192,Control,Batch2
TGFB1,C07,-0.11563698627268337,Control,Batch2
TNF,C07,-1.2025473482298983,Control,Batch2
VEGFA,C07,1.641883515092534,Control,Batch2
VIM,C07,0.46668628838700776,Control,Batch2
ACTB,C08,-1.574477189578852,Control,Batch2
AKR1C3,C08,0.31573768695081483,Control,Batch2
AKT1,C08,-0.3036250884598113,Control,Batch2
ALB,C08,1.5399631518938701,Control,Batch2
APOB,C08,-0.3066215607623226,Control,Batch2
BCL2,C08,0.5586446545017107,Control,Batch2
CCL2,C08,0.21188220981425587,Control,Batch2
CRP,C08,0.7477663079211432,Control,Batch2
CXCL8,C08,0.21918111571953247,Control,Batch2
EGFR,C08,0.1701177144831263,Control,Batch2
ERK2,C08,-0.07179931744266632,Control,Batch2
FOS,C08,-0.9519485929100124,Control,Batch2
FOXO1,C08,0.24243782357063282,Control,Batch2
GAPDH,C08,-0.5915372499776783,Control,Batch2
GSK3B,C08,-0.03326986097105511,Control,Batch2
HIF1A,C08,-1.1967415764200489,Control,Batch2
IGF1,C08,-0.3673575353399938,Control,Batch2
IL6,C08,-0.2625081438204315,Control,Batch2
INS,C08,-0.7557117359225023,Control,Batch2
JAK1,C08,-1.5099950059102092,Control,Batch2
JAK2,C08,0.6695338433806732,Control,Batch2
JUN,C08,0.6331423768610822,Control,Batch2
LDLR,C08,-0.6323939642385517,Control,Batch2
LEP,C08,1.5013013257358132,Control,Batch2
MAPK1,C08,-0.11569548633715065,Control,Batch2
MMP2,C08,0.2913468859412731,Control,Batch2
MMP9,C08,0.03326986097105333,Control,Batch2
MTOR,C08,-0.6535748580490415,Control,Batch2
NFKB1,C08,0.43958078007171864,Control,Batch2
PIK3CA,C08,-0.7853918820796011,Control,Batch2
PTEN,C08,-0.3620944708328677,Control,Batch2
RELA,C08,1.0847922071877463,Control,Batch2
S6K1,C08,0.45911492619159766,Control,Batch2
SOCS3,C08,0.52689978235518,Control,Batch2
STAT1,C08,-0.20305714748490722,Control,Batch2
STAT3,C08,-1.1459796875601853,Control,Batch2
TGFB1,C08,0.29825559560986825,Control,Batch2
TNF,C08,-1.1257993413663563,Control,Batch2
VEGFA,C08,1.2255850498683412,Control,Batch2
VIM,C08,0.37164216504346825,Control,Batch2
ACTB,C09,-1.389615249659049,Control,Batch2
AKR1C3,C09,0.1474835606941305,Control,Batch2
AKT1,C09,-0.27521788033136296,Control,Batch2
ALB,C09,1.1170831600717328,Control,Batch2
APOB,C09,-0.04303584096453328,Control,Batch2
BCL2,C09,0.6613353556789949,Control,Batch2
CCL2,C09,0.0,Control,Batch2
CRP,C09,0.8792573523000673,Control,Batch2
CXCL8,C09,0.40549342278525735,Control,Batch2
EGFR,C09,0.43649343516383965,Control,Batch2
ERK2,C09,-0.03202433685674677,Control,Batch2
FOS,C09,-0.42325451447782125,Control,Batch2
FOXO1,C09,0.4151295815840754,Control,Batch2
GAPDH,C09,-0.6276785373422626,Control,Batch2
GSK3B,C09,-0.07521916839760046,Control,Batch2
HIF1A,C09,-0.6721170769721381,Control,Batch2
IGF1,C09,-0.17059168030771943,Control,Batch2
IL6,C09,0.08099717289681152,Control,Batch2
INS,C09,-0.5449463288198801,Control,Batch2
JAK1,C09,-1.4267066995613211,Control,Batch2
JAK2,C09,0.6764690796554902,Control,Batch2
JUN,C09,0.23934334632007825,Control,Batch2
LDLR,C09,-0.9130209450367124,Control,Batch2
LEP,C09,1.8617055245217333,Control,Batch2
MAPK1,C09,-0.15913588793620193,Control,Batch2
MMP2,C09,0.35091020816405916,Control,Batch2
MMP9,C09,0.28377888983037813,Control,Batch2
MTOR,C09,-0.8526606036857576,Control,Batch2
NFKB1,C09,0.3961903229506589,Control,Batch2
PIK3CA,C09,-0.6337919882023266,Control,Batch2
PTEN,C09,0.09857596543719893,Control,Batch2
RELA,C09,1.12494539996554,Control,Batch2
S6K1,C09,0.2098834943044654,Control,Batch2
SOCS3,C09,,Control,Batch2
STAT1,C09,-0.4519779144648419,Control,Batch2
STAT3,C09,-0.5973474969424339,Control,Batch2
TGFB1,C09,-0.17524771931651273,Control,Batch2
TNF,C09,-1.0587827677493227,Control,Batch2
VEGFA,C09,1.4659274940282216,Control,Batch2
VIM,C09,0.32094535533483715,Control,Batch2
ACTB,C10,-1.2592971967938453,Control,Batch2
AKR1C3,C10,-0.017018098297667095,Control,Batch2
AKT1,C10,0.1709551757053962,Control,Batch2
ALB,C10,1.2251255279719153,Control,Batch2
APOB,C10,,Control,Batch2
BCL2,C10,0.6907035457852171,Control,Batch2
CCL2,C10,0.12645696607770418,Control,Batch2
CRP,C10,0.9546589213463612,Control,Batch2
CXCL8,C10,0.8118504123208119,Control,Batch2
EGFR,C10,0.2598732352359825,Control,Batch2
ERK2,C10,-0.09502211779057035,Control,Batch2
FOS,C10,-0.8387725073776418,Control,Batch2
FOXO1,C10,0.19577286415586848,Control,Batch2
GAPDH,C10,-0.5636801250532155,Control,Batch2
GSK3B,C10,0.2414474787289187,Control,Batch2
HIF1A,C10,-0.5713161699081661,Control,Batch2
IGF1,C10,-0.2042059022690106,Control,Batch2
IL6,C10,-0.2238213983504771,Control,Batch2
INS,C10,-0.8429147063899132,Control,Batch2
JAK1,C10,-1.2495779738382335,Control,Batch2
JAK2,C10,0.6857494240945226,Control,Batch2
JUN,C10,0.33270263422459045,Control,Batch2
LDLR,C10,-0.7669537339561865,Control,Batch2
LEP,C10,1.6995268569602224,Control,Batch2
MAPK1,C10,-0.207211244892477,Control,Batch2
MMP2,C10,0.24173706609634849,Control,Batch2
MMP9,C10,-0.2200551342407584,Control,Batch2
MTOR,C10,-0.5601202659755851,Control,Batch2
NFKB1,C10,0.49685079760163475,Control,Batch2
PIK3CA,C10,-0.6409364767546561,Control,Batch2
PTEN,C10,0.0,Control,Batch2
RELA,C10,1.0831186552470342,Control,Batch2
S6K1,C10,0.3346131151615328,Control,Batch2
SOCS3,C10,0.17322040434990704,Control,Batch2
STAT1,C10,-0.33870645095224017,Control,Batch2
STAT3,C10,-0.8434411905605081,Control,Batch2
TGFB1,C10,-0.20826274832449787,Control,Batch2
TNF,C10,-1.2705391980552543,Control,Batch2
VEGFA,C10,0.8976697295307723,Control,Batch2
VIM,C10,0.31176988152769347,Control,Batch2
ACTB,D01,-2.1506883683064633,Disease,Batch1
AKR1C3,D01,-0.015809613074592832,Disease,Batch1
AKT1,D01,0.30713059711640867,Disease,Batch1
ALB,D01,-0.35693473666961495,Disease,Batch1
APOB,D01,-0.4327135040964514,Disease,Batch1
BCL2,D01,-0.8285613215306125,Disease,Batch1
CCL2,D01,1.0100222308336768,Disease,Batch1
CRP,D01,2.262165604347235,Disease,Batch1
CXCL8,D01,1.0311191307285128,Disease,Batch1
EGFR,D01,0.9314720593750287,Disease,Batch1
ERK2,D01,0.08171063496120112,Disease,Batch1
FOS,D01,-0.3837429925986928,Disease,Batch1
FOXO1,D01,-0.9679602367951841,Disease,Batch1
GAPDH,D01,-1.051875869826831,Disease,Batch1
GSK3B,D01,-0.37360294319837806,Disease,Batch1
HIF1A,D01,-1.0042024339727433,Disease,Batch1
IGF1,D01,-1.7168758415954954,Disease,Batch1
IL6,D01,1.385462276693934,Disease,Batch1
INS,D01,-2.563588009232727,Disease,Batch1
JAK1,D01,-0.9166978583384715,Disease,Batch1
JAK2,D01,0.8503034399543612,Disease,Batch1
JUN,D01,0.844190989133045,Disease,Batch1
LDLR,D01,-0.17616697954498406,Disease,Batch1
LEP,D01,1.6966229031429503,Disease,Batch1
MAPK1,D01,0.2967514422293984,Disease,Batch1
MMP2,D01,0.4386332770809247,Disease,Batch1
MMP9,D01,0.9587126580616516,Disease,Batch1
MTOR,D01,-1.1412952476828115,Disease,Batch1
NFKB1,D01,0.8167526682388573,Disease,Batch1
PIK3CA,D01,-0.46177470477920046,Disease,Batch1
PTEN,D01,-1.2918577843310652,Disease,Batch1
RELA,D01,0.9725491239720832,Disease,Batch1
S6K1,D01,0.6316701529408242,Disease,Batch1
SOCS3,D01,0.018565181536493114,Disease,Batch1
STAT1,D01,0.015809613074592832,Disease,Batch1
STAT3,D01,-0.8711507507456586,Disease,Batch1
TGFB1,D01,0.2907661542827551,Disease,Batch1
TNF,D01,-0.12838782450760355,Disease,Batch1
VEGFA,D01,1.7687230703784813,Disease,Batch1
VIM,D01,-0.20630647687134207,Disease,Batch1
ACTB,D02,-2.007589343081003,Disease,Batch1
AKR1C3,D02,-0.13552352168417592,Disease,Batch1
AKT1,D02,0.17661674779289172,Disease,Batch1
ALB,D02,0.019078442562900477,Disease,Batch1
APOB,D02,,Disease,Batch1
BCL2,D02,-0.6944729624758814,Disease,Batch1
CCL2,D02,1.1324050730035324,Disease,Batch1
CRP,D02,1.9890839671961338,Disease,Batch1
CXCL8,D02,1.5481983170981568,Disease,Batch1
EGFR,D02,1.116301241335277,Disease,Batch1
ERK2,D02,-0.14718788757340384,Disease,Batch1
FOS,D02,-0.12189420311941213,Disease,Batch1
FOXO1,D02,-1.0801025647889393,Disease,Batch1
GAPDH,D02,-1.0402365792673613,Disease,Batch1
GSK3B,D02,-0.18876590731219345,Disease,Batch1
HIF1A,D02,-0.47473656451940727,Disease,Batch1
IGF1,D02,-1.8161546829925523,Disease,Batch1
IL6,D02,1.0658965667412215,Disease,Batch1
INS,D02,-2.382119872234668,Disease,Batch1
JAK1,D02,-1.206403558700294,Disease,Batch1
JAK2,D02,0.8158271872248815,Disease,Batch1
JUN,D02,0.6975216783441898,Disease,Batch1
LDLR,D02,-0.06866554181904938,Disease,Batch1
LEP,D02,1.6961955377551945,Disease,Batch1
MAPK1,D02,0.42967424172303126,Disease,Batch1
MMP2,D02,0.7049386467629777,Disease,Batch1
MMP9,D02,0.28083546414518956,Disease,Batch1
MTOR,D02,-0.4643540607234016,Disease,Batch1
