Assay,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
ACTB,-1.5815540776846895,-1.2324065572079173,-1.2300431458098693,-1.440395234232681,-1.1681983458971494,-1.5674698422504427,-1.2583717866552693,-1.574477189578852,-1.389615249659049,-1.2592971967938453,-2.1506883683064633,-2.007589343081003,-1.876852786299784,-2.141390972290906,-1.8191270099608694,-2.2275176399476173,-1.8002827527693697,-1.7434016794779579,-2.4994630347161193,-2.1267645234569965
AKR1C3,-0.018897557444674362,-0.09122549976232808,0.01266570028882974,-0.06645486679225865,0.426382521408204,0.29614094078109154,0.15792951723647697,0.31573768695081483,0.1474835606941305,-0.017018098297667095,-0.015809613074592832,-0.13552352168417592,-0.5388477841649255,-0.36596938225956777,-0.4213208601696312,-0.5672323421106071,-0.023093530666205453,0.046652979660464666,-0.6004671724084325,-0.1761468992957873
AKT1,-0.17106730189730524,-0.39214246100079997,-0.269408026409681,-0.15227811544152292,-0.38494977228850313,-0.09539652761522,-0.24921832695954826,-0.3036250884598113,-0.27521788033136296,0.1709551757053962,0.30713059711640867,0.17661674779289172,0.3954466523447788,0.04807176735306484,0.37341791709284955,-0.07153696828301825,0.17065306652875023,0.3379250513846497,0.38373101983055413,0.3528969732664713
ALB,1.733305930656611,1.4200656235493545,1.6040305929346026,1.5444904470939935,1.6691497097612995,1.2638585639361057,1.5829528577835212,1.5399631518938701,1.1170831600717328,1.2251255279719153,-0.35693473666961495,0.019078442562900477,0.07711313196744563,0.23881485148310055,0.049726488225518395,0.274921409976141,-0.13812474939024533,-0.30355185239775295,-0.058624592612043,0.09174942121931906
APOB,-0.42020487007359986,-0.01657230791997044,-0.2710665594113122,0.08345396387481685,0.023373842619653473,-0.1970434457816559,-0.09844232122005891,-0.3066215607623226,-0.04303584096453328,,-0.4327135040964514,,-0.41290071646612425,-0.43973639878466386,-0.24828590812511742,-0.4699828773454353,-0.2547732329573158,-0.47797090506307427,0.03961464603104048,-0.23644479131810137
BCL2,0.6275453731271217,1.021874424637347,1.1462621991426385,0.6663245504178832,0.6459182906816938,1.0024667078500649,1.047099296343685,0.5586446545017107,0.6613353556789949,0.6907035457852171,-0.8285613215306125,-0.6944729624758814,-0.8294770969628456,-0.7665002644845735,-0.5665411368513062,-0.5727580212417642,-0.20730368307667746,-0.7733340255184533,-0.4681352599565134,-0.6125876364219938
CCL2,0.13454497548951316,0.05658857299653253,0.5240552231313682,0.2514256654758995,-0.2327321709029011,0.1801040287890121,0.049339496615484535,0.21188220981425587,0.0,0.12645696607770418,1.0100222308336768,1.1324050730035324,0.6408996379441234,0.8171778249444355,0.8598967370309776,0.773168815200032,1.3370727416290222,0.984951159949139,0.6334123466990302,1.0968302561700956
CRP,0.5542954713978805,0.7809395371079413,0.8540395586761225,0.8607271540103518,0.7657321155032442,0.9736056456271065,0.691239788658967,0.7477663079211432,0.8792573523000673,0.9546589213463612,2.262165604347235,1.9890839671961338,1.7957628461557906,2.322320281011578,2.2201538208703173,1.9709909061571604,2.5134487396465186,2.1478262918229216,2.287595357284868,
CXCL8,0.578846204317168,0.5936992977721909,0.5034980570656877,0.32867412220122993,0.5165102991620909,0.25553605829158776,0.37393605583842593,0.21918111571953247,0.40549342278525735,0.8118504123208119,1.0311191307285128,1.5481983170981568,1.0147664791778581,1.2405426563315416,1.5895003452719099,1.3504408252783158,1.273399263128983,1.231402129087206,1.4308013980654142,1.2482514567689833
EGFR,0.2976333644964928,0.486639466824184,0.6084695556067352,0.2913515284089385,0.2858277368450963,0.6269794533223259,0.502778205921798,0.1701177144831263,0.43649343516383965,0.2598732352359825,0.9314720593750287,1.116301241335277,0.6087414415762407,0.6630817319439419,0.9403540321770567,0.8046373698035847,1.1720343926460561,0.8447890127828295,0.7023356866394668,1.2916107785065964
